Alimento;Kcal (por 100 g);Grasas (g/100 g);Proteínas (g/100 g);Carbohidratos (g/100 g)
Caracol;85,8;1,4;16,3;2
Caviar;252;15,5;26,1;1,9
Gulas salteadas en conserva;255;21,2;8,9;7,2
Huevas frescas;119;1,8;24,3;1,5
Palito de cangrejo;82,9;0,9;12,6;6,1
Clara de huevo;49;0,2;11,1;0,7
Huevo de codorniz;155;11,2;13,1;0,41
Huevo de gallina;162;12,1;12,7;0,68
Huevo de pato;184;14,4;13;0,7
Yema de huevo;353;31,9;16,1;0,3
Azúcar blanco;399;0;0;99,8
Azúcar moreno;390;0;0;97,6
Fructosa;399;0;0;99,8
Granadina, jarabe;268;0;0;66,9
Jalea real;261;;0,2;65
Jarabe;297;0;0,1;74,1
Miel;302;0;0,38;75,1
Barra de chocolate tipo “Mars”;431;18,5;5,6;60,2
Barrita de chocolate con galleta;501;24,5;6,5;63
Bombón;476;21,2;4,8;66
Cacao en polvo;;0;15,9;0
Cacao en polvo azucarado;391;4;5,9;81
Cacao en polvo bajo en calorías;358;3;16,1;63,4
Chocolate blanco;547;30,9;8;58,8
Chocolate con leche;538;31,5;9,2;54,1
Chocolate con leche y almendra;558;34,9;8,7;51,5
Chocolate en polvo a la taza;405;6;5,5;79,4
Chocolate puro;509;30;5,3;47
Crema de cacao y avellanas;555;33;6,2;57,8
Trufa de chocolate;514;33,8;6,2;44,9
Cacahuete cubierto de chocolate;513;25,4;9,4;60,5
Dulce de leche;321;5,6;5,2;62
Mazapán;503;24,9;8;58,7
Mere ngue;416;1,3;;91,6
Peladilla;469;17,9;10;65,8
Polvorón de almendra;479;23,8;5,5;59,3
Turrón de Alicante;516;29,3;13;46
Turrón de Jijona;488;31,1;13,2;34,7
Bizcocho;377;15;6;54
Bizcocho de chocolate;365;17;6,6;45
Bizcocho de soletilla;298;2,7;6,4;61,3
Bollo;443;23;6,6;50,8
Bollo de leche;346;13,2;9,7;46,5
Bollo relleno de chocolate;403;20,1;3,9;50,6
Bollo tipo donette;457;26;5,7;49
Bollo tipo donut;419;23;6;46
Bollo tipo donut de chocolate;435;25;5,4;46
Bollo tipo donut sin gluten;468;28;2;52
Churro;361;20;4,6;40
Croissant;444;22,4;7;52,6
Croissant de chocolate;437;24,1;8,7;44,2
Ensaimada;474;27;8,1;48,4
Magd alena;441;23,9;4,4;51,7
Medias noches;354;12;8,4;52
Palmera;539;30;5;61
Sobao;465;25;6,5;53
Suizo;401;20,1;5,5;48,4
Torta de aceite;511;23,5;6,5;66,8
Valenciana;430;20,9;5,1;53,1
Barquillo;427;6,9;8,1;81,5
Galleta cubierta de chocolate;491;24;6,9;60,4
Galleta doble rellena de chocolate;487;23,5;6,9;60,4
Galleta integral;427;21,2;10;42,9
Galleta tipo cookie;476;21;6,2;64
Galleta tipo digestive;469;20,3;6,3;63
Galleta tipo digestive con chocolate;501;24,1;6,8;62,6
Galleta tipo Maria;482;19;7,1;69
Galleta tipo sandwich;447;17,7;2,9;67,7
Almendrado;431;18,1;9;57
Buñuelo;266;14,8;6;26,3
Crema pastelera;158;5,4;4,9;22,3
Gofre;225;12;4,8;23,9
Milhoja con nata y crema;281;14,3;4,5;33
Pasta de te;446;13,8;6,9;73
Pastel de chocolate;443;27,9;5,2;41,8
Pastel relleno de crema;370;11,4;3,1;63,5
Profiteroles con chocolate;302;12;5,5;42
Profiteroles sin chocolate;374;29,5;6;20
Pudin de pasas;211;9,7;4,6;24,7
Tarta de crema pastelera y manzana;208;9,2;1,8;28,7
Tarta de frutas;332;9,1;2,9;57,9
Tortita sin nata;297;11;5,8;43
Caramelo;382;;0,4;95
Chicle;390;0,3;0;96,7
Chicle sin azúcar;2,7;0,3;0;0
Polo de hielo;134;1,3;1;29,5
Regaliz;323;1,9;3,9;71,5
Aceite de cacahuete;900;100;0;0
Aceite de coco;900;100;0;0
Aceite de colza;900;100;0;0
Aceite de germen de trigo;899;99,9;0;0
Aceite de girasol;899;99,9;0;0
Aceite de Hígado de bacalao;899;99,9;;0
Aceite de lino;900;100;0,11;0
Aceite de maíz;899;99,9;0;0
Aceite de nuez;898;99,8;;0
Aceite de oliva;899;99,9;;0
Aceite de oliva virgen;899;99,9;;0
Aceite de oliva virgen extra;899;99,9;;0
Aceite de oliva virgen extra ecológico;899;99,9;;0
Aceite de palma;899;99,9;0;0
Aceite de semilla de uva;899;99,9;0;0
Aceite de sésamo;900;100;0;0
Aceite de soja;900;100;0;0
Mantequilla;734;81,1;0,85;0,06
Mantequilla ligera;517;55,1;3,3;1,9
Mantequilla salada;736;81,1;0,89;0,7
Margarina;722;80;0,2;0,4
Margarina con esteroles;387;42,5;0,1;0,95
Margarina de maíz;740;80;0,9;4
Margarina ligera;371;40;1,6;1,1
Margarina salada;730;80,5;0,9;0,5
Margarina vegetal enriquecida;731;80,8;0,5;0,4
Manteca de cacao;900;100;0;0
Manteca de cerdo;891;99;0;0
Agua con gas embotellada;0;0;0;0
Agua corriente;0;0;0;0
Agua de mineralización débil;0;0;0;0
Agua sin gas embotellada;0;0;0;0
Bíter sin alcohol;42;0;;10,5
Gaseosa;21,6;0;;5,4
Gaseosa sin calorías;0,32;0;0,01;0,07
Limonada;17;0,2;0,5;1,9
Refresco aroma lima - limón;58,4;0;0;14,6
Refresco de té;36,4;0;0;9,1
Refresco de té bajo en calorías;0;0;0;0
Refresco sabor cola;43,6;0;0;10,9
Refresco sabor cola bajo en calorías;0,4;0;0;0,1
Refresco sabor cola sin cafeína;43,2;0;0;10,8
Refresco sabor cola sin cafeína bajo en calorías;0,8;0;0,1;0,1
Refresco sabor limón;45,6;0;;11,4
Refresco sabor naranja;42;0;;10,5
Soda sifón;35,2;0;0;8,8
Tónica;36,8;0;0;9,2
Achicoria;10,6;0,6;0,5;2,4
Café capuccino en polvo soluble;396;11,4;10,6;60,8
Café descafeinado en grano;315;13,1;13,5;6,7
Café descafeinado en polvo soluble;228;0,22;13,9;42,6
Café descafeinado liquido;12,2;0,5;0,52;0,25
Café en grano;315;13,1;13,5;6,7
Café en polvo soluble;227;0,5;14,6;41,1
Café liquido;12,2;0,5;0,52;0,25
Infusión de manzanilla;1;0;0;0,2
Infusión genérica;0;0;;
Sucedáneo de café soluble;404;3,4;12,3;80,9
Té;220;2;19,6;3
Té con agua;1,9;0,017;0,17;0,026
Bebida isotónica;28,4;0;0;7,1
Néctar de frutas envasado;54,4;;0,4;13,2
Sorbete de limón;140;;0,9;34,2
Zumo comercial de naranja;43,3;0,2;0,63;9,4
Zumo comercial sabor frutas tropicales;60,8;0;0,3;14,9
Zumo de mango;42;0,2;0,1;9,8
Zumo de manzana;48,9;0,11;0,063;11,9
Zumo de melocotón;47,1;0,22;0,63;10,5
Zumo de piña;41,4;0,08;0,38;9,7
Zumo de pomelo;43,6;0,1;0,53;10,1
Zumo de tomate comercial;14,1;0,06;0,63;2,6
Zumo de uva;68,1;0,1;0,21;16,6
Zumo de zanahoria;24,2;0,1;0,63;4,8
Zumo uva y melocotón;52,8;0,23;0,6;12
Agua de coco;17,2;0,2;0,7;2,6
Bebida de almendras;24,3;1,1;0,5;3
Bebida de alpiste;45;1;1,2;7,1
Bebida de avena;46,7;0,7;1;8,7
Horchata;97,3;2,7;1,2;17
Leche de coco;241;23,8;2,3;3,3
Aguardiente;222;0;;
anís;267;0;0;1
Bíter con alcohol;152;0;0;16
Cava;70,5;0;0,2;1,5
Cerveza;42,4;0;0,5;3,1
Cerveza baja en alcohol;38,1;0;0,5;2,9
Cerveza sin alcohol;25,4;0;0,38;5,4
Champagne;67,6;0;0,18;1,5
Coñac;240;0;0;2
Crem a de whisky;324;13;3;25
Cuba ta de ron;109;0;0;7,4
Gine bra;221;0;0;0
Licor dulce;224;0;0,1;35
Ron;234;0;0;0
Sangría;95,9;0,03;0,12;9,9
Sidra;49,9;0;;6
Tequila;266;0;0;0
Vermut;145;0;0,1;13,5
Vino blanco;61;0;0,1;0,1
Vino dulce (Málaga, Oporto);161;0;0,2;13
Vino fino (Jerez, Manzanilla);127;0;0,2;10
Vino rosado;66,9;0;0,1;1,4
Vino tinto;70,7;0;0,23;0,3
Vodka;235;0;0;0
Whisky;247;0;0;0,11
Albóndigas en conserva;148;9,7;6,8;5,9
Arroz tres delicias congelado;115;1,6;3,4;20
Base de pizza;273;7,4;6,7;43,9
Calamares a la romana congelados;189;7,8;5,7;23,7
Calamares fritos;172;7,5;22;4
Caldo de carne;6,5;0,22;1,1;0,04
Caldo de pescado;15;0,6;2;0,4
Caldo de pollo;5;0,21;0,4;0,4
Caldo de verdura;30,9;0,79;0,9;4,9
Caldo en cubitos de carne;252;18,7;15,7;5
Callos a la madrileña;109;5,8;6,8;2,5
Canelones de carne congelados;129;5,4;6,2;12,8
Carne empanada, pasteles de carne (congelados);299;18,1;21,9;12
Crema desecada de champiñón;361;7,7;9,6;61,9
Crema desecada de espárragos;392;15,5;8;54
Croquetas de bacalao congelada;154;4,2;3,8;25
Croquetas de jamón congelada;153;4,6;3,8;23
Croquetas de marisco congelada;136;2,7;5,6;21,9
Croquetas de merluza congelada;140;3,8;3,5;21,3
Croquetas de pollo congeladas;160;5,3;5,8;21
Croquetas de queso congelada;131;3,3;4,3;20,6
Delicias de jamón y queso congeladas;207;9,1;5,1;24,9
Empanadilla de atún congelada;265;12;4,8;31,7
Espinacas a la crema congeladas;65,1;3,5;2,8;4,7
Fabada en conserva;156;8,8;6,1;9,3
Gazpacho en conserva;39,8;2,8;0,6;3
Hummus;174;9,6;7,9;11
Kebab;341;18,8;17,1;25,9
Lasa ña de carne y besamel congelada;150;7,9;6,3;13
Paella de marisco congelada;125;0,62;3,6;25,2
Patatas prefritas congeladas;115;2,4;2,1;20
Pisto de verduras congelado;57;0,15;2,9;8,8
Pizza de atún congelada;219;9,8;8;23
Pizza margarita congelada;237;7,8;8,2;32,6
Pizza romana congelada;177;3,8;7,3;26,5
Pollo empanado congelado;242;12,7;18;13,5
Pure de patatas para reconstituir;353;1;6,5;76
San Jacobo congelado;252;13,3;4,1;26,7
Sopa de ave con fideos para reconstituir;326;1,5;11;66
Sopa jardinera para reconstituir;270;1,5;0;59
Aceituna negra con hueso;156;16;0,5;0
Aceituna negra sin hueso;156;16;0,5;0
Aceituna rellena de anchoa;121;12,3;1,3;0
Aceituna rellena de pimiento;169;16;1,2;3,8
Aceituna verde con hueso;167;16,7;0,8;1
Aceituna verde sin hueso;167;16,7;0,8;1
Alcaparra;28,7;0,86;2,4;2,1
Berenjenas encurtidas;27;1;0,7;2,8
Chips de verduras;468;19,8;3,2;67,3
Corteza de trigo;521;28;9,1;57
Fritos de maíz sabor barbacoa;539;31;7;55
Galleta salada;466;20;6,2;64
Ganchitos;470;17,4;6,6;71,1
Gusanitos con queso;520;29;5,6;58
Nachos con queso;357;21,5;4,3;34,9
Palomitas de maíz;494;30,2;6,2;44,3
Pan de gambas;349;0,1;1,6;85,5
Patatas fritas de bolsa;531;34,2;6,5;47,5
Patatas fritas de bolsa bajas en calorías;462;21,5;6,6;57,4
Pepinillos en vinagre en conserva;10,5;0,1;1,3;1,1
Triángulos maíz;503;27,7;6,5;56,3
Ajo en polvo;346;0,73;16,6;63,7
Albahaca fresca;26,2;0,64;3,2;1,1
Albahaca seca;255;4;14;20,5
Azafrán;353;5,9;11,4;61,5
Canela;255;3,2;3,9;25,6
Cardamomo, semillas;344;6,7;10,8;46,2
Cebolla deshidratada en copos;355;0,45;9;74,1
Cebollino;29;0,53;3;1,9
Cilantro;22,1;0,5;2,1;0,9
Clavo;335;13;6;31,6
Comino;391;18,2;17,8;33,7
Cúrcuma;291;3,3;9,7;44,4
Eneldo seco;316;4,4;20;42,2
Gomasio;89,7;8,7;2,7;0,14
Guindilla picante;47,3;1,1;1,9;6,7
Hinojo;20,2;;1,1;2,3
Jengibre crudo;32,9;1,1;1,1;3,4
Jeng ibre en polvo;336;4,2;9,1;58,3
Laurel;353;8,4;7,6;48,7
Levadura;164;0;27,8;11,8
Leva dura de panadería fresca;73;1;16;0
Mejo rana seca;324;7;12,7;32,4
Ment a fresca;67,3;0,94;3,8;6,9
Nuez moscada;506;36,3;5,8;28,5
Orégano fresco;65,6;2;2,2;9,7
Orégano seco;309;10,3;11;21,6
Perejil;59;0,36;4,4;7,4
Pimentón;357;13;14,8;34,8
Pimienta blanca;283;2,1;10,4;42,4
Pimienta negra;280;3,3;10,9;38,3
Sal común;0;0;0;0
Sal fluorada;0;0;0;0
Sal hiposódica;0;0;0;0
Sal yodada;0;0;0;0
Sal yodada fluorada;0;0;0;0
Semilla de anís;443;15,9;17,6;50
Semillas de alcaravea;334;14,6;19,8;11,9
Tomillo seco;369;7,4;9,1;57,1
Vainilla;51,6;0,06;0,06;12,7
Vinagre;4;0;0,4;0,6
Vinagre balsámico;70;0;0,49;17
Vinagre de manzana;2,4;0;0,4;0,2
Vinagre de vino;4;0;0,4;0,6
Alioli;796;86,9;0,5;2,8
Gela tina;338;0;84,4;0
Kétchup;117;0,4;2;26
Mayonesa comercial;709;75,6;1,3;5,8
Mayonesa ligera;272;26;0,7;8,8
Mostaza;125;8,2;7,1;5
Salsa agridulce;121;2,4;0,48;24
Salsa al curry;78,2;5;1,5;6,8
Salsa barbacoa;71;1,8;1,8;11,6
Salsa bechamel;153;10,3;4,1;10,8
Salsa boloñesa;163;11,1;8;7,2
Salsa brava;186;14,3;2;12,3
Salsa carbonara;307;29,9;7,5;2
Salsa cesar;543;57,9;2,2;3,3
Salsa de queso;111;6,1;5,3;8,4
Salsa de soja;65,7;0,1;8,7;6,7
Salsa holandesa;289;30,6;2,7;0,6
Salsa inglesa;78;0;0;19,5
Salsa picante;13,1;0,37;0,5;1,8
Salsa roquefort;480;47,5;7,2;6
Salsa tabasco;12;0,76;1,3;0,8
Salsa tamari;66,9;0,1;10,5;5,6
Salsa tartara;209;16,7;1;13,3
Salsa vinagreta;648;71,8;0,2;0,2
Sofrito;215;21;1,1;4,7
Aspartamo;365;0;1,4;93,7
Barrita hipocalórica;473;22,9;22;42
Batido hipocalórico;322;4,6;26,9;37
Crema hipocalórica;262;3,8;23;30
Edulcorante liquido;4;0;0;1
Saca rina;364;0;2;89,1
Stevia;0;0;0;100
Leche de continuación (polvo);511;24,3;12,9;60,1
Leche de inicio (polvo);522;26,8;11,4;58,9
Papilla de cereales con leche (polvo);419;9;15,5;68
Papilla de cereales y frutas (polvo);379;1,3;6;85,8
Papilla de cereales y miel con leche (polvo);421;8,8;13;72,4
Papilla sin gluten con leche (polvo);403;8,3;15,3;66,8
Papilla sin gluten y frutas con leche (polvo);422;8,7;15,2;70,8
Potito de fruta variada;73,5;0,1;0,6;17
Potito de pescado;74,6;3,8;3,6;6
Potito de pollo;78,5;3,7;5,2;5,8
Potito de ternera;64,8;2,6;3,6;6
