Alimento;Kcal (por 100 g);Grasas (g/100 g);Proteínas (g/100 g);Carbohidratos (g/100 g)
Col rizada;43,7;0,9;4,3;2,5
Coliflor;27,5;0,28;2,4;2,4
Endivia;23,6;0,24;1,1;3,6
Escarola;17,4;0,2;1,6;1
Esparrago verde;21,2;0,16;2,3;2
Espinaca;20,7;0,3;2,6;0,61
Grelo;20,8;0,2;2,7;0,1
Guisante verde;90,7;0,9;6,9;11,3
Haba fresca;50,4;0,2;5,4;4,2
Judía verde;36,4;0,58;2,4;4,2
Lechuga;19,6;0,6;1,4;1,4
Lombarda;26,6;0,18;1,5;3,5
Nopal;23,6;0,09;1,3;3,3
Pepino;13,3;0,2;0,63;1,9
Pimiento rojo;33,1;0,9;1,3;4,2
Pimiento verde;19,7;0,8;0,63;1,6
Puerro;29,2;0,29;2,2;3,3
Repollo;32,1;0,45;1,7;4,1
Rúcula;34,3;0,66;2,6;3,7
Tomate;22,2;0,21;0,88;3,5
Tomate, Cherry;33;0,8;0,8;5
Alcachofa congelada;37,7;0,43;2,6;3,9
Espinaca congelada;32,4;1;3,1;1,2
Guisante congelado;74;0,4;6;9,5
Judía verde congelada;36,5;0,9;1,9;3,6
Menestra congelada;63,9;0,52;3,3;9,5
Acelga en conserva;15,3;0,08;1,8;1,2
Alcachofa en conserva;36,6;0,16;2,9;1,2
Apio en conserva;32,3;0,3;0,5;5,9
Brotes de bambú en conserva;26;0,4;1,7;3,2
Cardo en conserva;15,8;0,11;0,76;2,1
Chucrut en conserva;22,5;0,3;1,5;2,4
Esparrago de lata;18,8;0,31;1,9;1,5
Espinaca en conserva;27,8;0,4;3,1;2,3
Guisante en conserva;88,9;0,9;5,3;12,4
Judía verde en conserva;15,1;0,1;1,2;1,6
Menestra en conserva;48,3;0,32;2;8,5
Palmito en conserva;43,2;0;2,8;8
Pimiento del piquillo en conserva;32,2;0,4;1,2;5,2
Pimiento morrón en conserva;29,4;0,4;1,2;4,5
Pimiento rojo asado en conserva;33;0,4;1,2;5,4
Puerro en conserva;38,1;0,7;1,2;5,4
Tomate frito en conserva;78,3;3,5;0,82;9,9
Tomate pelado enlatado;30,6;0,19;1,1;6
Tomate triturado;31,1;0,1;0,8;5,8
Zumo de aloe vera;15;0;0;3,8
Zumo de tomate natural;16,7;0,05;0,76;3
Zumo de zanahoria natural;24,3;0,15;0,63;4,8
Boniato;114;0,6;1,6;24,1
Fécula de patata;375;0,34;6,9;83,1
Harina de tapioca;382;0,2;0,5;94,3
Nabo;31,8;0,22;1;4,7
Patata nueva;73,6;0,11;2,3;14,8
Patata vieja;78,7;0,21;2,2;16,1
Rábano;17,3;0,14;1,1;2,1
Remo lacha;46,1;0,1;1,6;8,4
Tapioca;345;0,2;0,58;84,9
Yuca , mandioca, casava;164;0,3;1,4;38,1
Remolacha en conserva;39,1;0,1;2,3;6,4
Zanahoria en conserva;26,8;0,2;0,8;4,2
Champiñón;34;1,2;4,3;0,54
Níscalo;23,8;0,8;1,6;0,2
Trufa cruda;126;0,5;9;13
Cham piñón en conserva;21,4;0,5;3,4;0,07
Hongos desecados, shiitake;344;0,99;9,6;68,4
Alga agar cruda;29;0,03;0,54;6,4
Alga agar desecada;336;0,3;6,2;73,2
Alga espirulina desecada;391;7,7;58,2;20,3
Alga Kelp cruda;47,6;0,56;1,7;8,3
Alga Kelp desecada;246;0,6;7,9;49,7
Alga Laver cruda;45,5;0,28;5,8;4,8
Alga Laver desecada;225;1,5;30,7;
Alga musgo de Irlanda cruda;54;0,16;1,5;11
Alga Spirulina cruda;37,1;0,39;5,9;2,4
Alga Wakame cruda;53,6;0,64;3;8,7
Alga Wakame desecada;165;2,4;12,4;
Agua cate;233;23,5;1,9;0,4
Albaricoque;41,4;0,1;0,88;8,5
Arán dano;42,1;0,6;0,63;6,1
Caqui;74,2;0,3;0,63;16
Cara mbola;31;0;0,5;6,3
Cereza;62,1;0,31;0,88;13,3
Chirimoya;72,7;0,7;1,3;14,1
Ciruela;48,1;0,17;0,63;10,2
Coco fresco;384;36,5;4,6;4,8
Frambuesa;36,9;0,3;1,3;4,9
Fresa y fresón;32,2;0,4;0,81;5,5
Granada;77,2;0,6;0,69;16,1
Gros ella negra;45,2;0,22;1,3;6,1
Gros ella roja;32,4;0,2;1,1;4,8
Guay aba;41,6;0,5;0,88;5,8
Higo;65,3;0,5;1,3;12,9
Kiwi;51,8;0,8;1;9,1
Lima;17;0,2;0,5;1,9
Limón;27,7;0,3;0,69;3,2
Litchi;76,7;0,3;0,9;16,8
Mandarina;44,7;0,2;0,63;9,2
Mango;61,2;0,45;0,63;12,8
Manzana;54,1;0,36;0,31;11,4
Mara cuyá;54,2;0,4;2,4;9,5
Melo cotón;50,8;0,2;1;10,3
Meló n;55,5;0,1;0,88;12,4
Membrillo;47,3;0,5;0,44;7,3
Mora;45;1;1,2;6,2
Naranja;45,5;0,2;0,87;8,9
Nectarina;49,7;0,1;0,9;10,2
Níspero;42,6;0,2;0,56;8,6
